nombre,razon_social,domicilio,colonia,poblacion
SERV GASOLINEROS MEX  ,SETV GASOLINEROS DE MEX SACV  ,AV SAN RAFAEL NO 96 ESQ L CARD,RIVERAS DE LA PURISIMA,GUADALUPE NL
SERV SANTA MARGARITA,SERV SANTA MARGARIA SRL,AV CHAPULTEPEC NO 814 Y 816,SANTA MARGARITA,GUADALUPE NL
GAS IMPERIAL DURANGO  ,REGIO GAS LERDO SA,CARR MAZATLAN NO KM 883,GUADALUPE VICTORIA CIUDAD,GUADALUPE VICTORIA DGO
SERV SIERRA,SIERRA ALMARAZ TERESO,AVIACION NAL E INSURGENTES SN,ALLENDE IGNACIO VILLA,GUADALUPE VICTORIA DGO
SERV SIERRA DEB,SIERRA ALMARAZ TERESO,AVIACION NAL E INSURGENTES SN,ALLENDE IGNACIO VILLA,GUADALUPE VICTORIA DGO
SERV VAQUERA,VAQUERA PROA JOSE ANTONIO,CALZ JOSE RAMON V NO 516 OTE,GUADALUPE VICTORIA CIUDAD,GUADALUPE VICTORIA DGO
AUTOSERVICIO LOMAS,AUTOSERV LOMAS SA,BLVD LOPEZ PORTILLO NO 91,CENTRO,GUADALUPE ZAC
GASISLO BERNARDEZ,GASISLO 2000 SA CV,BLVD ZACATECAS GPE KM 4,DEPENDENCIAS FEDERALES,GUADALUPE ZAC
GASISLO CUAUHTEMOC,GASISLO 2000 SA CV,CARR SAN JERONIMO KM 1.5,SAN JERONIMO,GUADALUPE ZAC
GASISLO GARCIA SALINAS,GASISLO 2000 SA CV,CALZ GARCIA SALINAS NO 378,LOMAS DEL CONVENTO,GUADALUPE ZAC
GASISLO REVOLUCION,GASISLO 2000 SA CV,CARR AGUASCALIENTES ZAC KM 118,VALLE SAN ISIDRO,GUADALUPE ZAC
GASISLO STA MONICA,GASISLO 2000 SA CV,C PANAMERICANA NO45 KM 100 900,SANTA MONICA,GUADALUPE ZAC
MS LA PALTA 7611,MULTISERV LA PLATA SA CV,CALZ FCO GARCIA SALINAS NO 29,CENTRO,GUADALUPE ZAC
SERV COLON,SERV COLON SA CV,CRT AGUSCALIENTES NO 115,ADMON DE CORREOS GUADALUPE,GUADALUPE ZAC
SERV RIVAS GPE2,RIVAS JAQUEZ J REFUGIO ARTURO ,CARR SAUCEDA LA BORDA NO 3,LA FE,GUADALUPE ZAC
ASVA,ABASTECEDORA DE SERV VA SA CV ,AGUSTINA RAMIREZ NO 45,CENTRO,GUAMUCHIL SIN
ASVA,ABAST SERV DEL VALLE SA CV,BLVD FCO LABASTIDA NO 347,MAGISTERIO,GUAMUCHIL SIN
EL DESCANSO,EL DESCANSO SA CV,NICOLAS BRAVO NO 357,INSURGENTES,GUAMUCHIL SIN
GASOL SERV MATAMOROS  ,LOPEX GAXIOLA ANA,MARIANO MATAMOROS NO 308,JUAREZ,GUAMUCHIL SIN
SERV MATAMOROS,LOPEZ GAXIOLA ANA YARALDINE,MATAMOROS NO 308 NTE,JUAREZ,GUAMUCHIL SIN
SERV MERARID,SERV MERARID SA CV,BLVD FCO LABASTIDA OCHO NO 463,EVORA,GUAMUCHIL SIN
EST SERV MONCA,ESTACION SERV MONCA SA CV,CARR IRAPUATO LEON KM 23 98,SAN JOSE DE LLANOS,GUANAJUATO GTO
GASOL DIF ESTATAL,SIST DES INTEGRAL FAM GTO,AUT SILAO GTO EDQ ACC CTRAL AU,LOS ALCALDES,GUANAJUATO GTO
GASOL NORIA ALTA,LARA ORTIZ JORGE O,CARR GUANAJUATO SILAO KM 1.5,NORIA ALTA,GUANAJUATO GTO
SERV AGUASARCA RODEO  ,ANAYA GUTIERREZ GUILLERMO,CARR G JUVENTINO ROSAS KM 11.5,MARFIL,GUANAJUATO GTO
SERV PANORAMICA,SERV PANORAMICA SA CV,ENTR CARR D HGO Y CARR KM 19.5,EL CARRIZO,GUANAJUATO GTO
SERV SANTA FE D LA LUZ,ANAYA GUTIERREZ GUILLERMO,GUANAJUATO IRAPUATO KM 9,MARFIL,GUANAJUATO GTO
ASVA,AB DE SERV DEL VALLE SA CV,BLVD RUMALDO RUIZ PAYAN SN,EJIDAL,GUASAVE SIN
ASVA,ABASTECEDORA DE SERV SA CV,BLVD CENTRAL NO 491 PTE,CENTRO,GUASAVE SIN
AUTO SERV LA BGA,AUTO SERVICIOS LA BODEGA SA CV,CARR AL NARANJO KM 6,EJIDO LOS PINITOS,GUASAVE SIN
GASOL CARRANZA,CARRANZA FAMANIA FRANCISCO,CARR GUASAVE 4 500 KM SN SC,PALOS BLANCOS,GUASAVE SIN
GASOL DEL BOSQUE,GASOLINERA DEL BOSQUE SA CV,TABACHINES NO 202 Y HERIBERTO,EJIDAL,GUASAVE SIN
GASOL RIO SINALOA,GASOL RIO SINALOA SA CV,BLVD CENTRAL NO 1140 OTE,EJIDAL,GUASAVE SIN
GASOLINERA CARRANZA,GASOLINERA PETATLAN SA CV,BENIGNO VALENZUELA NO 749,CENTRO,GUASAVE SIN
MERCANTIL OCCIDENTAL  ,MERCANTIL OCCIDENTAL SA CV,NINOS HEROES NO 570,CENTRO,GUASAVE SIN
SERV JUAN JOSE RIOS,SERV JUAN JOSE RIOS SA,CARR INT MEX NOGALES KM 1609,RIOS JUAN JOSE, GRAL.,GUASAVE SIN
APTO DE GUAYMAS,APTOS Y SERVICIOS AUXILIARES  ,CARR A SN JOSE GUYMAS CONOCIDO,CENTRO,GUAYMAS SON
DIFESA,DIFESA SA CV,AV SERDAN NO 454 ENTRE C 11,CENTRO,GUAYMAS SON
DIST GUAYMAS EMPALME  ,DIST GUAYMAS EMPALME SA CV,CARR INT EMPALME GUAYMAS KM 11,GOLONDRINAS,GUAYMAS SON
HERSAN,COMBUSTIBLES HERSAN SA CV,CARR INTANL NO 1982,LOMA LINDA,GUAYMAS SON
HERSAN,COMB HERSAN SA CV,BLVD B JUAREZ SN MZ14 LT 14,SAMANIEGO GIL,GUAYMAS SON
JRUMSA,JOSE RAMON URIBE MAYT SA CV,C 10 Y 11 AV 6 NO 595 SN,CENTRO,GUAYMAS SON
MERCANTIL OCCIDENTAL  ,MERCANTIL OCCIDENTAL SA CV,BLVD GARCIA LOPEZ NO 192,SAN CARLOS NUEVO GUAYMAS,GUAYMAS SON
NAUTIGAS,NAUTI GAS SA CV,M F BELTRONES KM 11 1 2 SN,SAN CARLOS NVO GUAYMAS,GUAYMAS SON
SELOLISA,SERVICIO LOMALINDA SA CV,CARR INTERNACIONAL KM 1 NO SN,LOMA LINDA,GUAYMAS SON
SELUCOGUSA,SERV LUBRICANTES Y COM SA CV  ,C 16 Y 17 AV 18 NO 100 SN,CENTRO,GUAYMAS SON
SERV DELICIAS,SERVICIO DELICIAS SA CV,CARR INTNAL KM 1980,LAS DELICIAS,GUAYMAS SON
SERV DELICIAS,SERV DELICIAS SA CV,CARR INTERNACIONAL KM 1980,CENTRO,GUAYMAS SON
SERV DON CHUCHINO,SERV DON CHUCHINO SA CV,BLVD BELTRONES Y P DICHOSO SN,SAN CARLOS NUEVO GUAYMAS,GUAYMAS SON
SERV EL PORVENIR,SERV EL PORVENIR SA CV,C INTNAL KM 171.3,BACA CALDERON ESTEBAN,GUAYMAS SON
SERV EL VIGIA,SERVICIO EL VIGIA SA CV,CALZ A GARCIA LOPEZ NO 630,LAS DELICIAS,GUAYMAS SON
SERV GOFUSA,SERV GOFUSA SA CV,BLVD B JUAREZ NO 744,LAS VILLAS,GUAYMAS SON
SERV PETROLERA,SERV SAHUARIPA DE GUAYMA SA CV,CARR INT MEX NOG KM 1982 NO SN,LOMA LINDA,GUAYMAS SON
SERV SAHUARIPA,SERV SAHUARIPA DE GUAYMA SA CV,CARR AL VARADERO NACIONA NO SN,SAHUARIPA,GUAYMAS SON
SERV SAN CARLOS,SERVICIO SN CARLOS SA CV,CARR BAHIA SN CARLOS SN,SAN CARLOS NUEVO GUAYMAS,GUAYMAS SON
SEVAGUSA,SERV L VALIENTE D GUAYMA SA CV,CARR INT KM 1992 NO SN,LOMA LINDA,GUAYMAS SON
APTO DE CD VICTORIA,APTOS Y SERVICIOS AUXILIARES  ,CARR SOTO LA MARINA KM 18.5,AEROPUERTO,GUEMEZ TAMPS
GASOL SERV LA JUNTA,SERVICIO LA JUNTA SA CV,ENTRONQUE LA JUNTA SN,EL MIRADOR,GUERRERO CHIH
MULTISERV SEGMA,MULTISERV SEGMA SA CV,CARR GUERRERO SN 1 K MZ 5,AGUA CALIENTE,GUERRERO CHIH
SERV MODELO,MALDONADO PARRA OSCAR,CARR GRAN VISION NO 42,TOMOCHIC,GUERRERO CHIH
GASOL LA PIOJA,COMB Y LUBR LA PIOJA SA CV,CARR POZA RICA SN KM 49,GUTIERREZ ZAMORA,GUTIERREZ ZAMORA VER
APTO DE HERMOSILLO,AEROPUERTOS Y SERV AUXILIARES ,CARR BAHIA DE KINO KM 9.5,AEROPUERTO,HERMOSILLO SON
AUTO SER LA CANDELARIA,AUTO SERVICIO CANDELARIA SA CV,BLVD PROGRESO SN,FRACC VILLA DEL CORTEZ,HERMOSILLO SON
AUTO SERV BACHOCO,AUTO SERV BACHOCO SA CV,BLVD MORELOS Y AV SIETE SN,BUGAMBILIAS,HERMOSILLO SON
AUTO SERV LORI,AUTO SERVICIO LORI SA CV,CARR A LA COLORADA KM 3 5 NO S,PARQUE INDUSTRIAL HERMOSILLO,HERMOSILLO SON
AUTO SERV VERACRUZ,AUTO SERV VERACRUZ SA CV,AV VERACRUZ NO 288,SAN BENITO,HERMOSILLO SON
AUTOSERV TRANSVERSAL  ,AUTOSERV TRANSV SA CV,BLVD LUIS ENCINAS Y REF SN,SAN BENITO,HERMOSILLO SON
ERSAL,EST SERVICIO ERSAL SA,CARR HERM B DE KINO KM 106,BAHIA DE KINO,HERMOSILLO SON
ERSAL DEB,EST SERV ERSAL SA,CARR HERM BAHIA DE KINO KM 106,POB BAHIA DE KINO,HERMOSILLO SON
EST D SERV LAS PALMAS ,EST D SERV LAS PALMAS SA CV,PERIMETRAL NTE 1107 ENTRE PERI,OBREGON ALVARO,HERMOSILLO SON
EST DE SERV 1641,EST SERVICIO 1641 SA CV,BLVD LUIS ENCINAS SN,CENTRO,HERMOSILLO SON
EST DE SERV 1642,EST DE SERVICIO 1642 SA CV,BLVD LUIS ENCINAS Y GUS M ESQ,OLIVARES,HERMOSILLO SON
EST DE SERV 3210,EST DE SERVICIO NO 3210 SA CV,YUCATAN Y MADRID,LOS ARCOS,HERMOSILLO SON
EST DE SERV BACHOCO,EST DE SERV BACHOCO SA CV,BLVD MORELOS NO 329 NTE,LOS OLIVOS,HERMOSILLO SON
EST DE SERV LA CENTRAL,EST DE SERV LA CTRAL SA CV,SALAZAR GIRON NO 31,CENTRO,HERMOSILLO SON
EST DE SERV PERINORTE ,PERINORTE SA CV,PERIF NORTE SN,JESUS GARCIA,HERMOSILLO SON
EST GAS PALO VERDE,GALLARDO OROZCO FRANCISCO,LAZARO C Y PERIF PTE ESQ SN,PALO VERDE,HERMOSILLO SON
EST SER GPO PITIC,ESTAC DE SERV GPO PITIC SA CV ,PEIRF NTE NO 1,GARCIA JESUS,HERMOSILLO SON
EST SER NVO HILLO,RICO HEREDIA MARTIN,BLVD OCAMPO NO 17,NUEVO HERMOSILLO,HERMOSILLO SON
EST SER PERINORTE DEB ,ESTAC SERV PERINORTE SA CV,PERIF NTE ESQ GRAL PINA SN,BALDERRAMA,HERMOSILLO SON
GAS GOMEZ FARIAS,CONSTRUYA CON VISION SA CV,BLVD IGNACIO SOTO NO 16,LOMA LINDA,HERMOSILLO SON
GAS LOS NARANJOS,ARAQUE BRACAMONTES GILDARDO,PERIF Y CANAL PRINCIPAL SN,EL RANCHITO,HERMOSILLO SON
GASERV,GASERVICIO SA CV,BLVD L DONALDO COLOSIO NO 490,VILLA SATELITE,HERMOSILLO SON
GASERV CENTENARIO,GASERVICIO CENTENARIO SA CV,REFORMA Y MANUEL Z CUBILLAS,CENTENARIO,HERMOSILLO SON
GASERV ENCINAS,GASERVICIO ENCINAS SA CV,BLVD SOLIDARIDAD 94 SN,EL SAHUARO,HERMOSILLO SON
GASERV MORELOS,GASERVICIO MORELOS SA CV,JOSE MA MORALES 853 ESQ PROGRE,CUATRO OLIVOS,HERMOSILLO SON
GASERV SANTA MARTHA,GASERV SANTA MARTHA SA CV,REFORMA NO 79,SAN BENITO,HERMOSILLO SON
GASERVICIO MATAMOROS  ,GASERVICIO MATAMOROS SA CV,MATAMOROS NO 57,CENTRO,HERMOSILLO SON
GASOL ALVARADO,GASOLINERIA ALVARADO SA CV,NOGALES Y FCO MONTEVERDE NO161,SAN BENITO,HERMOSILLO SON
GASOL BOULEVARD,ARVAYO ARELLANO JESUS FCO,BLVD ABELARDO L RDZ NO 46,CENTRO,HERMOSILLO SON
GASOL EL AGUILA,GASOL Y SERV EL AGUILA SA CV  ,BLVD IGNACIO SALAZAR NO 756,VILLAFONTANA,HERMOSILLO SON
GASOL EL CHARRO,EL CHARRO GASOLINERA SA,VERACRUZ NO 263,SAN BENITO,HERMOSILLO SON
GASOL EL LLANITO,BURTON JUVERA MIGUEL MARIO,CAMINO AL PANTEON MPAL NO 135,EL LLANITO,HERMOSILLO SON
GASOL EL SERI,GASOLINERIA EL SERI SA CV,YANEZ Y DR NORIEGA SN,CENTRO,HERMOSILLO SON
GASOL GENERAL PIN,GASOLINERA GENERAL PINA SA CV ,GENERAL PINA NO 175,SAN BENITO,HERMOSILLO SON
GASOL LA FAMA,GASOLINERA LA FAMA SA CV,BLVD LUIS ENCINAS NO 455,VILL SATELITE,HERMOSILLO SON
GASOL LA MINA,GASOL LA MINA SA CV,LAZARO CARDENAS NO 209,PALO VERDE,HERMOSILLO SON
GASOL LAS LOMAS,FELIX BLOCH CARLOS A,BLVD PASEO LAS PALMAS NO 1,LAS LOMAS,HERMOSILLO SON
GASOL NAYARIT,VERDUGO CORRAL FCO,NAYARIT NO 325 ESQ SIMON,OLIVARES,HERMOSILLO SON
GASOL P PROGRESO,PZA PROGRESO SA CV,BLVD SOLIDARIDAD NO 735,NORBERTO ORTEGA,HERMOSILLO SON
GASOL PERINORTE,PERALTA ENCINAS EDUARDO,PERIF NTE NO 371,ENCINAS LUIS,HERMOSILLO SON
GASOL RIO SONORA,GASOLINERIA RIO SONORA SA CV  ,PASEO RIO SONORA NTE NO 2 L 11,EL MALECON,HERMOSILLO SON
GASOL SAN LUIS,GRUPO GASOLINERO LM SA CV,CARR A NOGALES KM 1.7,SAN LUIS,HERMOSILLO SON
GASOL SOYOPA,GASOL SOYOPA SA CV,BLVD SOLIDARIDAD NO 392,LIBERTAD,HERMOSILLO SON
GASOMAX,GASOMAX SA CV,PERIF PTE ESQ ESCUINAPA SN,ZAPATA EMILIANO,HERMOSILLO SON
GUADALUPANA GASOLINERA,GUADALUPANA GASOLINERA S,CARR  INTERNACIONAL KM,VINEDOS,HERMOSILLO SON
MAXIGAS DE SONORA,MAXIGAS DE SONORA SA CV,PERIF PTE NO 1364,MODELO,HERMOSILLO SON
MAXIGAS LA MANGA,MAXIGAS LA MANGA SA CV,BLVD GARCIA MORALES NO 471 A,EL ALAMO,HERMOSILLO SON
ME COVARRUBIAS,COVARRUBIAS DE DIOS ELENA,GARMENDIA NO 71,SAN BENITO,HERMOSILLO SON
MERCANTIL OCCIDENTAL  ,MERCANTIL OCCIDENTAL SA CV,BLVD VILDOSOLA NO 190,VILLA DEL SERIS,HERMOSILLO SON
PETROMEX HERMOSILLO,PETROMEX HERMOSILLO SA CV,PERIF PTE NO 328,PALMAR DEL SOL,HERMOSILLO SON
POWER GAS,POWER GAS SA CV,BLVD LIBERTAD NO 1,ADOLFO DE LA HUERTA,HERMOSILLO SON
REFORMA GASOL,REFORMA GASOLINERA SA CV,AV REFORMA Y PERIF NTE SN,BALDERRAMA,HERMOSILLO SON
ROLIGAS,ROLIGAS SA CV,AV PERIF NTE NO 176,BALDERRAMA,HERMOSILLO SON
SERV ANZA,SERVICIO DE ANZA SA CV,REVOLUCION Y BLVD RGUEZ SN,5 DE MAYO,HERMOSILLO SON
SERV DE ANZA,SERV DE ANZA SA CV,BLVD RDZ Y REVOLUCION ESQ SN,CINCO DE MAYO,HERMOSILLO SON
SERV EL CAPITAN,EST DE SERV EL CAPINA SA CV,BLVD KINO NO 309 ESQ YOCUPICIO,PITIC,HERMOSILLO SON
SERV EL GALLO,SERV EL GALLO SA CV,BLVD AGUSTIN DE VILDOSOLA SN,Y GRIEGA,HERMOSILLO SON
SERV EL KENO,SERVICIO EL KENO SA CV,BLVD SOLIDARIDAD Y MENDOZA SN,EL SAHUARO,HERMOSILLO SON
SERV EL KENO SUCURSAL ,SERVICIO EL KENO SA CV,BLVD SOLIDARIDAD Y R ROMERO SN,CHOYAL,HERMOSILLO SON
SERV PESQUEIRA M,SERVICIO PESQUEIRA M SA CV,BLVD SOLIDARIDAD NO 672,PRIMERO HERMOSILLO,HERMOSILLO SON
SERV ROCHELIS,SERV ROCHELIS SA CV,BLVD ABELARDO L RDZ NO 109,SAN BENITO,HERMOSILLO SON
SERV Z3,SERVICIO Z3 SA CV,DOMINGO OLIVARES NO 395,LA MISION,HERMOSILLO SON
SERV Z3,SERVICIO Z3 SA CV,BLVD I SALAZAR ESQ REP HON SN,LA MISION,HERMOSILLO SON
SERVIGAS CARRETA DEB  ,SERVIGAS LA CARRETA SA CV,PERIF SUR NO 28,Y GIRIEGA,HERMOSILLO SON
SERVIGAS EL PROGRESO  ,SERVIGAS EL PROGRESO SA CV,MONTEVERDE NO 900,VILLA DE CORTES,HERMOSILLO SON
SERVIGAS LA ESPIGA,SERVI GAS LA ESPIGA SA,CARR A BAHIA KINO 290 Y 13 D SEP,ALEMAN MIGUEL,HERMOSILLO SON
SERVIGAS NOCTURNAL DEB,SERVIGAS EL NOCTURNAL SACV,BLVD LUIS ENCINAS SN,CENTRO,HERMOSILLO SON
SERVS EL MINERO,SERVICIOS EL MINERO SA CV,NAYARIT NO 113 Y REYES,SAN BENITO,HERMOSILLO SON
ESTACION DE SERV RAMOS,ESTACION DE SERV RAMOS SRL CV ,PROL AV INDEPENDENCIA NO 157,BELLAVISTA,HGO DEL PARRAL CHIH
GASOL JV,GASOLINERA JV SA CV,CARR CORTA CHIHUAHUA KM 5.250,SIN COLONIA,HGO DEL PARRAL CHIH
MULTISERV EL GRANILLO ,MULTISERV EL GRANILLO SA CV,KM 10 CARR PARRAL STA BARBARA,CENTRO,HGO DEL PARRAL CHIH
RICOBA GASOL,RICOBA GASOLINERA SA CV,KM 7C VIA CORTA PARRAL CHIH SN,CENTRO,HGO DEL PARRAL CHIH
SERV GASOLINEROS DUME ,SERV GASOLINEROS DUME SA CV,PROL BLVD A ORTIZ MENA NO 297,EL POTRERO,HGO DEL PARRAL CHIH
SERV PERISUR DEL R,SERV PERISUR DEL REAL SA CV,LIB PERIMETRAL SUR NO 715,CERRO BLANCO INFONAVIT,HGO DEL PARRAL CHIH
COMB DE HUAJUAPAN,COMB HUAJUAPAN SA CV,CARR INT A OAXACA NO 132,EL MOLINO,HUAJUAPAN DE LEON OAX
AUTOSERV HUAMANTLA,CERVANTES LOPEZ JOSE RAUL,HIDALGO PTE NO 513,HUAMANTLA,HUAMANTLA TLAX
SERV CUAUHTEMOC,SUPER SERVICIO CUAUHTEMO SA CV,CARR FED MEX VER KM NO 135 39,MORELOS JOSE MARIA,HUAMANTLA TLAX
SERV CAVA,SERVICIO CAVA SA CV,PROL 8 DE ENERO NO 1237,HUANDACAREO,HUANDACAREO MICH
SERV RUIZ LOPEZ,RUIZ MENDEZ EMILIO,CARR 54 KM 176.6,HUANUSCO,HUANUSCO ZAC
SERV SAN DIEGUITO,SERVICIO SAN DIEGUITO SA CV,CARR FED PUE IZUCAR KM NO 44,HUILUCO,HUAQUECHULA PUE
SERV BACOBAMPO,SERVICIO BACOBAMPO SA CV,TALAMANTE NO 20,CENTRO,HUATABAMPO SON
SERV LOS TOLTECAS,SERV LOS TOLTECAS SA CV,CARR NAVOJOA MOCHIS KM 92,CENTRO,HUATABAMPO SON
SERV QUIJADA MATRTIZ  ,SERV QUIJADA SA CV,CONSTITUCION Y ALLENDE SN,CENTRO,HUATABAMPO SON
SERV QUIJADA SUCURSAL ,SERV QUIJADA SA CV,RODOLFO FELIX VALDEZ NO 223,CENTRO,HUATABAMPO SON
SERVICIOS HUATSON,SERVICIOS HUATSON SA CV,AV TECNOLOGICO NO 59,UNION,HUATABAMPO SON
GAS MABARAK,GAS DE HUATUSCO SA CV,CARR FORTINHUATUSCO KM 40.5,HUATUSCO DE CHICUELLAR,HUATUSCO VER
SERV HUAYACOCOTLA,SOLIS ANGELES EFREN AGUSTIN,CARR MEXICO HUAYACOCOTLA,CENTRO,HUAYACOCOTLA VER
SERV HUICHIHUAYAN,EST SERV HUICHIHUAYAN SA CV,AV MEXICO LAREDO NO 21,HUEHUETLAN,HUEHUETLAN SLP
GAS ANG HUEJOTZINGDEB ,GASOL ANGELES HUEJOTZINGO SACV,CARR FED MEX PUEB KM 90,PRIMER BARRIO,HUEJOTZINGO PUE
SERV LA CABANA,SERVICIO LA CABANA SA CV,CARR FEDRAL MEX PUE KM 90400,HUEJOTZINGO,HUEJOTZINGO PUE
SERVS FAYAD,SERVICIOS FAYAD SA CV,CARR MEXICO TAMPICO KM 215,HUEJUTLA DE REYES,HUEJUTLA DE REYES HGO
GASOL INSURGENTE,MARTINEZ CONCHA ANTONIA,AV FRANCISCO I MADERO NTE N 24,HUETAMO DE NUNEZ,HUETAMO MICH
GAS SERV HUEYAPAN,SUPER SERV HUEYAPAN SA CV,CARR COSTERA DEL G KM 185 SN,CENTRO,HUEYAPAN DE OCAMPO VER
SERV DELONG,DELONG RODRIGUEZ BEATRIZ,E D MAYO ESQ FCO SARABIA SN,HUEYTAMALCO,HUEYTAMALCO PUE
GASOL QUINTEIRO,QUINTEIRO CANEDO ANTONIO,AV HIDALGO NO 318,EL BARRIAL,HUIMANGUILLO TAB
GASOL YAHIMA,YAHIMA SA CV,CARR HUIMANGUILLO KM 1 SN,EL BARRIAL,HUIMANGUILLO TAB
ATN RAPIDA CLINETE DOS,ATN RAPIDA CLIENTES DOS SA,PIE DE LA CUESTA NO 1620,SAN PEDRITO,HUIMILPAN QRO
SERVS SN MIGUEL,SERVICIO SAN MIGUEL HUIM SA CV,CARR QRO HUIMILPAN NO 33,HUIMILPAN,HUIMILPAN QRO
SERV TRES MARIAS,CORTES SANJINEZ JOSE JUAN,CARR FED MEX CUERNA SN KN 52,TRES MARIAS O TRES CUMBRES,HUITZILAC MOR
AD DE GASOL INTERLOMAS,AD DE GASOL INTERLOMAS SA CV  ,AV MAGNOCENTRO INTERLOMAS NO 9,CENTRO,HUIXQUILUCAN EM
ADMIN GASOLS,ADMINISTRADORA GASOL SA CV,AV PALO SOLO NO 3515,CENTRO,HUIXQUILUCAN EM
GASOL INTERLOMAS,ADMIN DE GASOL INTERLOMAS SACV,AV MAGNOCENTRO NO 8,CENTRO URBANO,HUIXQUILUCAN EM
GASOL INTERLOMAS DEB  ,ADMIN DE GASOL INTERLOMAS SACV,AV MAGNOCENTRO NO 8,CENTRO URBANO,HUIXQUILUCAN EM
GASOL PALO SOLO,ADMINISTR DE GASOL SA CV,AV PALO SOLO NO 3575 B,PALO SOLO,HUIXQUILUCAN EM
GASOL PALO SOLO,ADMINISTRAD DE GASOL SA CV,AV PALO SOLO NO 3515 B,PALO SOLO,HUIXQUILUCAN EM
GASOMIRA,GASOMIRA SA CV,CARR RIO HONDO NO 401,CENTRO,HUIXQUILUCAN EM
INT DEL EJIDO SAN CRIS,INT EJIDO SN CRISTOBAL SC RL  ,CARR MEXICO HUXQUILUC KM 16.5,CENTRO,HUIXQUILUCAN EM
SERV HERRADURA,SERVICIO HERRADURA SA CV,PROL BQUE DE MINAS NO 1 LT 150,FEDERAL BUROCRATICA,HUIXQUILUCAN EM
SERV LOMAS DE LAS PALM,SERV LOMAS DE PALMAS SA CV,BLVD INTERLOMAS NO 22,LOMAS ANAHUAC,HUIXQUILUCAN EM
SERV LOMAS PALMAS DEB ,SERV LOMAS DLS PALMAS SA CV,AV L ANAHUAC M32 LT 19 20 2122,LOMAS ANAHUAC,HUIXQUILUCAN EM
SERV NEVADA,SERV NEVADA SA CV,CARR MEX HUIXQUIL NO 1083 LT3,BOSQUES DE LA HERRADURA,HUIXQUILUCAN EM
SERV TRES MIL,SERVICIO TRES MIL SA CV,P DE LA HERRADURA MZ 2 L 6 Y 7,CENTRO,HUIXQUILUCAN EM
GASOL EL HUEYATE,GASOLINERA EL HUEYATE SA CV,CARR COSTERA AL INGENIO SN,HUIXTLA,HUIXTLA CHIS
GASOL HUIXTLA,GASOLINERA HUIXTLA SA CV,NEGRETE Y AV ABASOLO SN,HUIXTLA,HUIXTLA CHIS
SERV HUNUCMA,SERVICIO HUNUCMA SA CV,CARR MERIDA HUNUCMA KM 22 NO 0,HUNUCMA,HUNUCMA YUC
GASOL PERIF SAL PAT GO,FLORES VILLALOBOS SALVADOR,PERIF NTE SN,CENTRO,IGUALA D LA INDEP GRO
SERV TUR CARRETERA,SERV TURISTICOS CARRETERA SA  ,CARR MEXICO ACAPULCO KM 196,CENTRO,IGUALA D LA INDEP GRO
SERV TUR CARRETERA DEB,SERV TURISTICOS CARRETERA SA  ,CARR MEXICO ACAPULCO KM 196,CENTRO,IGUALA D LA INDEP GRO
COMBUSTIBLES DEL SUR  ,COMBUSTIBLES DEL SUR SACV,CARR NAL MEX ACAPULCO KM 199,FLORESTA,IGUALAPA GRO
COMBUSTIBLES SUR DEB  ,COMBUSTIBLES DEL SUR SA CV,CARR NAL MEX ACAPULCO KM 199,FLORESTA,IGUALAPA GRO
AUTOSERV EL AGUILA,AUTOSERV EL AGUILA SA CV,KM 3 LIB NTE NO 2473 PTE,CENTRO,IRAPUATO GTO
GASOL DEL BAJIO,GASOL DEL BAJIO SA CV,BLVD DIAZ ORDAZ NO 1395,CENTRO,IRAPUATO GTO
GASOL OPERADORA URLO  ,OPERADORA URLO SA CV,ABASOLO NO 3190,VALLE VERDE,IRAPUATO GTO
GASOL SERVI EXPRESS ST,SERVI EXPRESS STA ANITA SA CV ,CARR IRAPUATO ABASOLO NO 5811,GUADALUPE DE RIVERA,IRAPUATO GTO
MONTI GASOL,MONTI GASOL SA CV,CARR QUERETARO LEON KM 125.980,LO DE JUAREZ,IRAPUATO GTO
MULTISERV EL MARMOL,MULTISERV EL MARMOL SACV,BLVD SOLIDARIDAD NO 8353,LAZARO CARDENAS,IRAPUATO GTO
SERV AUTOEXPRES HERNIE,SERV AUTOEXPRESS HERNIE SA CV ,AV DE LA REFORMA NO 1540,GAMEZ,IRAPUATO GTO
SERV DON BOSCO,SERV DON BOSCO SA CV,BLKVD DIAZ ORDAZ NO 973,LOS EUCALIPTOS,IRAPUATO GTO
SERV IRAPUATO,SERV IRAPUATO SA CV,BLVE SOLIDARIDAD NO 6828,CENTRO,IRAPUATO GTO
SERV LOS PRESIDENTES  ,SERV LOS PRESIDENTES SA CV,CASIMIRO LICIEGA NO 1450,LOS PRESIDENTES,IRAPUATO GTO
SERV PROGRESO,SERV PROGRESO SA CV,AV GUERRERO NO 1240,CENTRO,IRAPUATO GTO
SERV RALI,GARZA Y RODRIGUEZ RAUL IGNACIO,CARR IRAPUATO KM 3 NO SN,EL CARMEN,IRAPUATO GTO
SERV SAN ROQUE,SERV SAN ROQUE SA CV,BLVD SAN ROQUE NO 1139,FRACC COLON,IRAPUATO GTO
SUPER SERV SOLIDARIDAD,SUPER SERV SOLIDARIDAD SA CV  ,SOLIDARIDAD NO 15262,IRAPUATO,IRAPUATO GTO
